year,gasoline,biogasoline,diesel,biodiesel,lpg,otheroils,lightfueloil,biofueloil,heavyfueloil,recycledoil,refinerygas,oilstotal,biooilstotal,coal,coke,ovengas,towngas,coaltotal,naturalgas,nuclearenergy,hydropower,windpower,blackliquor,woodindustry,woodsmall,woodtotal,peat,recoveredfossil,recoveredbio,recoveredtotal,demolitionfossil,demolitionbio,demolitiontotal,otherwastefuels,biogas,solarenergy,otherbioenergy,hydrogen,recoveredrecycledtotal,heatpumps,industryreactions,electricityimport,total,allfossilfuels,allrenewables,notfossilrenewablepeatnuclear,fuelsco2
1960,0,0,0,0,0,0,0,0,0,0,0,96500,0,0,0,0,0,75900,0,0,18700,0,0,0,0,194200,1200,0,0,0,0,0,0,0,0,0,0,0,0,0,400,1500,388400,0,0,0,0
1961,0,0,0,0,0,0,0,0,0,0,0,108200,0,0,0,0,0,66200,0,0,28600,0,0,0,0,193000,1100,0,0,0,0,0,0,0,0,0,0,0,0,0,400,600,398100,0,0,0,0
1962,0,0,0,0,0,0,0,0,0,0,0,129700,0,0,0,0,0,64000,0,0,34800,0,0,0,0,189000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,600,300,419400,0,0,0,0
1963,0,0,0,0,0,0,0,0,0,0,0,158500,0,0,0,0,0,68200,0,0,29800,0,0,0,0,188000,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,1200,449100,0,0,0,0
1964,0,0,0,0,0,0,0,0,0,0,0,187700,0,0,0,0,0,67800,0,0,29700,0,0,0,0,186200,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,3400,2500,478900,0,0,0,0
1965,0,0,0,0,0,0,0,0,0,0,0,225400,0,0,0,0,0,65700,0,0,33300,0,0,0,0,183300,1000,0,0,0,0,0,0,0,0,0,0,0,0,0,4000,2300,515000,0,0,0,0
1966,0,0,0,0,0,0,0,0,0,0,0,280100,0,0,0,0,0,60400,0,0,37000,0,0,0,0,179800,800,0,0,0,0,0,0,0,0,0,0,0,0,0,4100,-300,561900,0,0,0,0
1967,0,0,0,0,0,0,0,0,0,0,0,289000,0,0,0,0,0,57400,0,0,41400,0,0,0,0,172600,700,0,0,0,0,0,0,0,0,0,0,0,0,0,4400,0,565500,0,0,0,0
1968,0,0,0,0,0,0,0,0,0,0,0,324500,0,0,0,0,0,69400,0,0,37400,0,0,0,0,170300,700,0,0,0,0,0,0,0,0,0,0,0,0,0,4800,1000,608100,0,0,0,0
1969,0,0,0,0,0,0,0,0,0,0,0,374400,0,0,0,0,0,86800,0,0,31200,0,0,0,0,168900,800,0,0,0,0,0,0,0,0,0,0,0,0,0,4600,600,667300,0,0,0,0
1970,43693.26,0,31365,0,2806.47,5718.23,135771.24,0,171292.98,0,22213.67,412860.85,0,68946.1,19284,6073.2,446.71,94750.01,0,0,33944.4,0,57666.2,20223.78,92200,170089.98,893.42,0,0,0,0,0,0,0,0,0,0,0,0,0,6019.2,1900.8,720458.66,507610.86,204034.38,7920,40
1971,46795.74,0,32172.5,0,2967.08,4659.98,138730.14,0,173079.82,203.05,28223.95,426832.26,0,63926.5,13876.5,5702.4,487.32,83992.72,0,0,38066.4,0,54417.4,23107.09,87800,165324.49,893.42,0,0,0,0,0,0,0,0,0,0,0,0,0,5331.6,9324,729764.89,510824.98,203390.89,14655.6,40
